dataset: 29514, train_set: 27000, val_set: 2514
(train)===> Epoch[1/1000]): Loss: 0.24807839718538902 Acc: 25147
(validation)===> Epoch[1/1000]): Acc: 0.9314903846153846
(train)===> Epoch[2/1000]): Loss: 0.2422551287608022 Acc: 25165
(train)===> Epoch[3/1000]): Loss: 0.23694404433182742 Acc: 25158
(train)===> Epoch[4/1000]): Loss: 0.2337516463779782 Acc: 25168
(train)===> Epoch[5/1000]): Loss: 0.23097219421680928 Acc: 25167
(train)===> Epoch[6/1000]): Loss: 0.22891457831916226 Acc: 25167
(train)===> Epoch[7/1000]): Loss: 0.22563630464595183 Acc: 25166
(train)===> Epoch[8/1000]): Loss: 0.22196453905303795 Acc: 25179
(train)===> Epoch[9/1000]): Loss: 0.2190900089356366 Acc: 25192
(train)===> Epoch[10/1000]): Loss: 0.21812608790298552 Acc: 25177
(train)===> Epoch[11/1000]): Loss: 0.21412284743934523 Acc: 25196
(validation)===> Epoch[11/1000]): Acc: 0.9326923076923077
(train)===> Epoch[12/1000]): Loss: 0.20983263402469363 Acc: 25209
(train)===> Epoch[13/1000]): Loss: 0.20798443509995798 Acc: 25223
(train)===> Epoch[14/1000]): Loss: 0.20329534992434076 Acc: 25236
(train)===> Epoch[15/1000]): Loss: 0.2022108351745401 Acc: 25217
(train)===> Epoch[16/1000]): Loss: 0.19841734748200962 Acc: 25268
(train)===> Epoch[17/1000]): Loss: 0.1940696740748623 Acc: 25284
(train)===> Epoch[18/1000]): Loss: 0.19202483263123338 Acc: 25279
(train)===> Epoch[19/1000]): Loss: 0.18829296215165264 Acc: 25291
(train)===> Epoch[20/1000]): Loss: 0.18426778157752624 Acc: 25327
(train)===> Epoch[21/1000]): Loss: 0.18328029577423427 Acc: 25322
(validation)===> Epoch[21/1000]): Acc: 0.9342948717948718
(train)===> Epoch[22/1000]): Loss: 0.18038335043467982 Acc: 25345
(train)===> Epoch[23/1000]): Loss: 0.17764489586307997 Acc: 25347
(train)===> Epoch[24/1000]): Loss: 0.17597602235237392 Acc: 25377
(train)===> Epoch[25/1000]): Loss: 0.1744854939822772 Acc: 25353
(train)===> Epoch[26/1000]): Loss: 0.17379953630817188 Acc: 25372
(train)===> Epoch[27/1000]): Loss: 0.16901228336214752 Acc: 25402
(train)===> Epoch[28/1000]): Loss: 0.16994122712211476 Acc: 25419
(train)===> Epoch[29/1000]): Loss: 0.16753676103653653 Acc: 25410
(train)===> Epoch[30/1000]): Loss: 0.16510615624363498 Acc: 25453
(train)===> Epoch[31/1000]): Loss: 0.16437676576388713 Acc: 25450
(validation)===> Epoch[31/1000]): Acc: 0.9447115384615384
(train)===> Epoch[32/1000]): Loss: 0.16295255310921938 Acc: 25451
(train)===> Epoch[33/1000]): Loss: 0.16275473945108268 Acc: 25477
(train)===> Epoch[34/1000]): Loss: 0.1572039915677912 Acc: 25530
(train)===> Epoch[35/1000]): Loss: 0.16082969077834028 Acc: 25463
(train)===> Epoch[36/1000]): Loss: 0.15665821982392786 Acc: 25487
(train)===> Epoch[37/1000]): Loss: 0.15803544778120202 Acc: 25515
(train)===> Epoch[38/1000]): Loss: 0.15675383085061995 Acc: 25512
(train)===> Epoch[39/1000]): Loss: 0.15676304610388567 Acc: 25502
(train)===> Epoch[40/1000]): Loss: 0.15209894599901808 Acc: 25580
(train)===> Epoch[41/1000]): Loss: 0.15254856282380588 Acc: 25537
(validation)===> Epoch[41/1000]): Acc: 0.9451121794871795
(train)===> Epoch[42/1000]): Loss: 0.15055315353135593 Acc: 25578
(train)===> Epoch[43/1000]): Loss: 0.15157797024308775 Acc: 25582
